Directors Score,Total Revenue,Total Debt,Debt-to-Income Ratio,Operating Margin,Debt Service Coverage Ratio,Cash Flow Volatility,Revenue Growth Rate,Average Month-End Balance,Average Negative Balance Days per Month,Number of Bounced Payments,Company Age (Months),Sector_Risk,outcome,company_name
84.07,6955.0,0,0.0,-0.167,2.99,0.8062219351839411,-0.45244972602802447,178.0969230769231,3.769230769230769,0,30.0,0,0,Flight Training Essex Ltd
76.78,52044.0,0,0.0,-0.148,50.0,1.5435423536660757,-0.8493093443829267,12033.428000000018,0.0,0,18.0,0,0,Foolgood Salons Ltd
87.68,64268.0,0,0.0,-0.053,13.8,0.3596591555615675,0.10230217933962994,2352.990000000006,0.3076923076923077,0,103.0,0,0,Forty3 Media
77.64,428128.0,0,0.0,0.034,50.0,0.37354818171786824,0.27266176186909086,749.2692307692331,10.846153846153847,0,36.0,0,0,Four Paws Walking And Training Ltd
79.23,10157.0,0,0.0,0.253,10.0,0.8508139141117823,11.406075962731279,1335.745,2.5,0,93.0,0,0,Four The Willows Ltd
82.66,6956.0,0,0.0,-1.0,9.13,0.7916852541463233,-0.8837325108460908,976.3650000000009,0.0,0,128.0,0,0,French Sole Ltd
62.58,221934.0,0,0.0,0.04449875957347466,50.0,0.8503927545077263,2.5922618660670955,7091.809999999997,0.38461538461538464,0,25.0,0,0,Fs Fashionista Ltd
60.81,548010.0,0,0.0,0.002,10.83,0.5620648982977904,0.7728613879371982,21058.059999999994,3.769230769230769,0,34.0,0,0,Ft Fitness Ltd
77.97,82097.0,0,0.0,0.208,4.73,2.3842396160717767,-0.87354691136914,3701.931538461523,0.0,2,23.0,0,0,Furfamilyfair Ltd
91.7,75177.0,0,0.0,-0.719,1.76,0.13366317842202144,0.06852213919881163,139.91750000000002,15.333333333333334,0,85.0,0,0,Fusionprint Uk Ltd
90.5,114705.0,0,0.0,-0.313,28.69,0.47637555317284114,0.2912386150578018,740.9841666666653,13.5,1,40.0,0,0,Future Analytics Ltd
81.34,153997.0,0,0.0,0.097,10.68,0.7765808507621081,1.044217287837787,1013.7938461538425,7.538461538461538,0,49.0,0,0,Fylde Conservation Ltd
