json_file,outcome_label,in_paid_upload,in_not_paid_upload
Green Future Search Lab(1).json,unlabelled,False,False
Hidden Pretty Gifts Ltd(1).json,unlabelled,False,False
London21 Ltd(1).json,unlabelled,False,False
Master Brewer Ltd(1).json,unlabelled,False,False
Ceiling Suppliers Transaction Report(1).json,unlabelled,False,False
Crunch Group Ltd Transaction Report(1).json,unlabelled,False,False
D&C Couriers Ltd Original(1).json,unlabelled,False,False
E-gener8.com(1).json,unlabelled,False,False
Four Paws Training Ltd(1).json,unlabelled,False,False
We Design it Ltd_categorized(1).json,unlabelled,False,False
Wild Bru and Lavers Ltd(1).json,unlabelled,False,False
Zainobu Ltd(1).json,unlabelled,False,False
South Coast(1).json,unlabelled,False,False
Spencers Group Ltd(1).json,unlabelled,False,False
Star Marketing Solutions Ltd(1).json,unlabelled,False,False
STRIKECLUB_LTD-(1).json,unlabelled,False,False
The Body Fix Coach Limited (2)(1).json,unlabelled,False,False
TTND Ltd Transaction Report(1).json,unlabelled,False,False
Vageman Fish Limited(1).json,unlabelled,False,False
Moonlight SMC Ltd(1).json,unlabelled,False,False
Oxford Driveways and Roofing Limited(1).json,unlabelled,False,False
Peekzoon Ltd(1).json,unlabelled,False,False
Phone Expert Services(1).json,unlabelled,False,False
Prudent Healthcare Services Ltd(1).json,unlabelled,False,False
Simpli Print Group Ltd(1).json,unlabelled,False,False
Made this for you Ltd Transaction Report(1).json,unlabelled,False,False
MBRB Limited Transaction Report(1).json,unlabelled,False,False
Mecn Marketing Ltd(1).json,unlabelled,False,False
Meli's Landscaping Ltd(1).json,unlabelled,False,False
Mikaiel Limited_categorized(1).json,unlabelled,False,False
Four Paws Walking and Training Ltd App2(1).json,paid,True,False
GC Bike Repairs Ltd 2(1).json,unlabelled,False,False
Happy Travel Limited(1).json,unlabelled,False,False
Hewitt and Hyland Leisure Ltd(1).json,unlabelled,False,False
Hussains Leicester Ltd(1).json,unlabelled,False,False
Jay Heath Ltd(1).json,unlabelled,False,False
JB Bars Ltd(1).json,unlabelled,False,False
Bramble and Willow Ltd(1).json,unlabelled,False,False
BTWBTW Ltd(1).json,unlabelled,False,False
Bulgarian Food Pirin Ltd(1).json,unlabelled,False,False
Bunker Publishing(1).json,unlabelled,False,False
By Old Ltd Transaction Report(1).json,unlabelled,False,False
D&C Couriers Ltd app 2(1).json,unlabelled,False,False
Anthony Healthcare Ltd(1).json,unlabelled,False,False
Apprintable Limited Transaction Report_cleaned(1).json,unlabelled,False,False
Beforethefall(1).json,unlabelled,False,False
Beyond Social Media (UK) Ltd(1).json,unlabelled,False,False
Hans Lec Design(1).json,unlabelled,False,False
THE_HOP_HOUSE_LTD(1).json,unlabelled,False,False
White_canvas_categorized(1).json,unlabelled,False,False
The Body Fix Coach Limited(1).json,unlabelled,False,False
Four the Willows Ltd(1).json,unlabelled,False,False
Drillskillz Consults Limited(1).json,unlabelled,False,False
Neu Hair(1).json,unlabelled,False,False
Rockaway Toys Ltd(1).json,unlabelled,False,False
HumbleEgg Ltd(1).json,unlabelled,False,False
Hursley Childcare Ltd(1).json,unlabelled,False,False
The Comfy Clothing Wardrobe Ltd(1).json,unlabelled,False,False
plaid_categories(1).json,unlabelled,False,False
Serenix Ltd Transaction Report(1).json,unlabelled,False,False
Alex Sounthhampton(1).json,unlabelled,False,False
RJ elite property management 2.json,unlabelled,False,False
RJ elite property management.json,unlabelled,False,False
Car Connect Rentals.json,unlabelled,False,False
Mc building & interiors ltd.json,unlabelled,False,False
R&K BRICKWORK LTD.json,unlabelled,False,False
Baig halal butcher ltd.json,unlabelled,False,False
Solaire tanning co limited.json,unlabelled,False,False
SHREEJI MOBILE REPAIR LIMITED.json,unlabelled,False,False
Heart of the home interiors.json,unlabelled,False,False
Forty3 Media.json,unlabelled,False,False
Quest Makkah Tours Limited.json,unlabelled,False,False
MYM SUPPLIERS LTD.json,unlabelled,False,False
FusionPrint UK Ltd.json,unlabelled,False,False
Happy Travel Limited_categorized.json,unlabelled,False,False
Happy Travel Limited.json,unlabelled,False,False
IBBmedialtd.json,unlabelled,False,False
GC Bike Repairs Ltd 6.json,unlabelled,False,False
OM Clinic Limited.json,unlabelled,False,False
A&A Building Construction Ltd.json,unlabelled,False,False
Yoga Management Ltd.json,unlabelled,False,False
Four Paws Walking and Training Limited app 4.json,unlabelled,False,False
Patina House Limited.json,unlabelled,False,False
Erfan Carpet.json,unlabelled,False,False
Elar One Ltd.json,unlabelled,False,False
Optimum Vehicles Limited.json,unlabelled,False,False
Momokakkoii Ltd.json,unlabelled,False,False
GC Bike Repairs Ltd 5.json,unlabelled,False,False
GC Bike Repairs Ltd 4.json,unlabelled,False,False
Ultimate 2020 Group TA Trade Glaze.json,unlabelled,False,False
The Nail Label Limited.json,unlabelled,False,False
Them Paint Guys Limited.json,unlabelled,False,False
Cakes by Aleina Ltd.json,unlabelled,False,False
YS Traders Limited.json,unlabelled,False,False
Michel-Reynolds Agency Ltd.json,unlabelled,False,False
Madestays Limited.json,unlabelled,False,False
Allure Salon (UK) Ltd.json,unlabelled,False,False
D&C Couriers Ltd Original.json,unlabelled,False,False
D&C Couriers Orginal Bank acc.json,unlabelled,False,False
D&C Couriers Ltd app 2.json,unlabelled,False,False
Hair and Beauty Palace Ventures Limited.json,unlabelled,False,False
The Comfy Clothing Wardrobe Ltd.json,unlabelled,False,False
Ashby Street Motors Ltd.json,unlabelled,False,False
Muscle Makers Gym Limited Data Analysis.json,unlabelled,False,False
Muscle Makers Gym Limited app 2.json,unlabelled,False,False
Four Paws Training Ltd.json,unlabelled,False,False
Something a bit different Ltd.json,unlabelled,False,False
Stockport Jungle Ltd.json,unlabelled,False,False
Bulgarian Food Pirin Ltd.json,unlabelled,False,False
Akar Food Ltd.json,unlabelled,False,False
Golden Triangle Financial Services Ltd.json,unlabelled,False,False
GC Bike Repairs Ltd 3.json,unlabelled,False,False
Rockaway Toys Ltd.json,unlabelled,False,False
Smart Alloys South West Limited.json,unlabelled,False,False
Spencers Group Ltd.json,unlabelled,False,False
Beyond Social Media (UK) Ltd.json,unlabelled,False,False
Thor Ltd.json,unlabelled,False,False
Hidden Pretty Gifts Ltd.json,unlabelled,False,False
Phone Expert Services Ltd 2.json,unlabelled,False,False
GC Bike Repairs Ltd 2.json,unlabelled,False,False
Wigporium Ltd.json,unlabelled,False,False
GC Bike Repairs Ltd.json,unlabelled,False,False
Phone Expert Services Ltd.json,unlabelled,False,False
Zainobu Ltd.json,unlabelled,False,False
Foolgood Salons Ltd.json,unlabelled,False,False
White Sea Technologies Limited.json,unlabelled,False,False
Zainobu Limited.json,unlabelled,False,False
Vision ET Consilium Ltd.json,unlabelled,False,False
Vageman Fish Limited.json,unlabelled,False,False
Vagemanfish Ltd.json,unlabelled,False,False
Brookhouse Hypnotherapy Ltd.json,unlabelled,False,False
Recognised London Limited.json,unlabelled,False,False
We Style Any Dog Limited.json,unlabelled,False,False
House of Mystery.json,unlabelled,False,False
South Coast_categorized.json,not_paid,False,True
Harbour_galley.json,unlabelled,False,False
South Coast.json,unlabelled,False,False
White_canvas_categorized.json,unlabelled,False,False
GIT Support LTD_categorized.json,unlabelled,False,False
R A F Chilamena Limited.json,unlabelled,False,False
Phone Expert Services_categorized.json,unlabelled,False,False
22Lush Limited Transaction Report_categorized.json,unlabelled,False,False
GIT Support LTD.json,unlabelled,False,False
London Recruiting.json,unlabelled,False,False
Phone Expert Services.json,unlabelled,False,False
Bottom Line Consultants Ltd.json,unlabelled,False,False
Bramble and Willow Ltd.json,unlabelled,False,False
CoreERP Solutions.json,unlabelled,False,False
Blisshealth Concepts Limited.json,unlabelled,False,False
Wye Valley Catering.json,unlabelled,False,False
Hussains Leicester Ltd.json,unlabelled,False,False
Els Management Ltd_categorized.json,unlabelled,False,False
Els Management Ltd.json,unlabelled,False,False
E-gener8.com.json,unlabelled,False,False
We Design it Ltd_categorized.json,unlabelled,False,False
We Design it Ltd.json,unlabelled,False,False
Elm Pub Group Ltd TA As The Bull Inn.json,unlabelled,False,False
Milton Fire Safety.json,unlabelled,False,False
Mikaiel Limited_categorized.json,unlabelled,False,False
Oxford Driveways and Roofing Limited.json,unlabelled,False,False
Gas Records.json,unlabelled,False,False
The Fuel Agency (UK) Ltd_categorized.json,unlabelled,False,False
Mikaiel Limited.json,unlabelled,False,False
The Body Fix Coach Limited (2).json,unlabelled,False,False
The Body Fix Coach Limited.json,unlabelled,False,False
Matches Talent Ltd.json,unlabelled,False,False
Peekzoon Ltd.json,unlabelled,False,False
Simpli Print Group Ltd.json,unlabelled,False,False
Apprintable Limited Transaction Report_cleaned.json,unlabelled,False,False
Noble Executive Limited P1.json,unlabelled,False,False
Noble Executive Limited.json,unlabelled,False,False
