pdf_file,matched_company,match_score,match_strategy,business_ccj,text_backend,error
BBD_SERVICES_LTD-capital_report-2024-08-16.pdf,Bbd services Ltd,87.5,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BD_HEALTH_SOLUTIONS_LTD-capital_report-2024-03-15.pdf,BD HEALTH SOLUTIONS LTD,86.95652173913044,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BDV_MOTORS_LTD-capital_report-2024-05-14.pdf,Bdv motors ltd,85.71428571428572,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BEACHKARMA_LIMITED-capital_report-2024-08-05.pdf,besachkarma limited,81.4814814814815,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BEDEW_SKIN_LTD-capital_report-2024-07-24.pdf,Bedew Skin LTD,85.71428571428572,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BEDEW_SKIN_LTD-capital_report-2025-04-04(1).pdf,Bedew Skin LTD,85.71428571428572,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BEDEW_SKIN_LTD-capital_report-2025-04-04.pdf,Bedew Skin LTD,85.71428571428572,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BEFIRST_CONSTRUCTIONS_LTD-capital_report-2024-07-29.pdf,Befirst Constructions Ltd,92.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BEYOND_SOCIAL_MEDIA_UK_LIMITED-capital_report-2024-10-03.pdf,Beyond Social Media (UK) Ltd,80.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BIG_BRO_BAO_LTD-capital_report-2025-04-01.pdf,Big bro bao ltd,80.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BK_MAINTENANCE_SERVICES_LTD-capital_report-2024-06-28.pdf,nan,100.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BLISSHEALTH_CONCEPTS_LTD-capital_report-2024-09-11.pdf,Blisshealth Concepts Limited,91.66666666666666,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BLOSSOM_LADIES_BOUTIQUES_LIMITED-capital_report-2024-06-28.pdf,Blossom Ladies Boutiques ltd,85.18518518518519,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOAT_SHED_WORKS_LTD-capital_report-2024-06-28.pdf,Boat shed works Ltd,84.21052631578947,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOILER_SOLUTIONS_COVER_UK_LTD-capital_report-2025-03-17(1).pdf,Boiler solution cover uk,83.33333333333334,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOILER_SOLUTIONS_COVER_UK_LTD-capital_report-2025-03-17.pdf,Boiler solution cover uk,83.33333333333334,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOILER_SOLUTIONS_COVER_UK_LTD-capital_report-2025-05-02.pdf,Boiler solution cover uk,83.33333333333334,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOTTOM_LINE_CONSULTANTS_LTD-capital_report-2024-09-19.pdf,bottom line consultants ltd,88.88888888888889,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOUND_STUDIOS_LTD-capital_report-2025-03-05.pdf,BOUND STUDIOS LTD,88.23529411764706,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BOUND_STUDIOS_LTD-capital_report-2025-03-27.pdf,BOUND STUDIOS LTD,88.23529411764706,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BRAMBLE_AND_WILLOW_LTD-capital_report-2024-09-12.pdf,Bramble and Willow Ltd,86.36363636363636,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BRANDIN_AGENCY_LTD-capital_report-2024-06-28.pdf,Brandin Agency,92.85714285714286,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BRUNCH_MUNCH_POOLE_LTD-capital_report-2024-06-28.pdf,Brunch Munch Poole ltd,86.36363636363636,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BTWBTW_LTD-capital_report-2024-06-28.pdf,Btwbtw ltd,90.0,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BUBASTORE_LTD-capital_report-2024-06-28.pdf,Bubastore LTD,92.3076923076923,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BUBBLE_WAFFLE_LIMITED-capital_report-2024-03-19 (1).pdf,Bubble Waffle Limited,81.25,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BUHARY_CONSTRUCTIONS_LTD-capital_report-2025-04-17(1).pdf,Befirst Constructions Ltd,73.46938775510203,partial_ratio_duplicate_lower_confidence,False,none,Matched company already has a higher-confidence PDF; not applied
BUHARY_CONSTRUCTIONS_LTD-capital_report-2025-04-17.pdf,Befirst Constructions Ltd,73.46938775510203,partial_ratio_duplicate_lower_confidence,False,none,Matched company already has a higher-confidence PDF; not applied
BUKOBA_WORKS_LIMITED-capital_report-2024-06-28.pdf,Bukoba Works Limted,84.21052631578947,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BULGARIAN_FOOD_PIRIN_LTD-capital_report-2024-10-24.pdf,Bulgarian food pirin Ltd,87.5,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
BY_OLA_LIMITED-capital_report-2024-08-19.pdf,+234,66.66666666666667,partial_ratio_duplicate_lower_confidence,False,none,Matched company already has a higher-confidence PDF; not applied
CAKES_BY_ALEINA_LTD-capital_report-2024-12-10.pdf,CAKES BY ALEINA LTD,84.21052631578947,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CALIAMO_LONDON_LTD-capital_report-2024-08-12.pdf,Caliamo london Ltd,88.88888888888889,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CALVIN_GUARDS_LIMITED-capital_report-2024-05-21.pdf,+234,66.66666666666667,partial_ratio_duplicate_lower_confidence,False,none,Matched company already has a higher-confidence PDF; not applied
CARTER_LOCKSMITHS_LTD-capital_report-2024-07-02.pdf,Carter Locksmiths,94.11764705882352,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CEILING_SUPPLIERS_LTD-capital_report-2024-07-30.pdf,Ceiling Suppliers,94.11764705882352,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CETIN_BARBER_BEAUTY_LTD-capital_report-2025-04-16(1).pdf,Cetin barber beauty ltd,86.95652173913044,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CETIN_BARBER_BEAUTY_LTD-capital_report-2025-04-16.pdf,Cetin barber beauty ltd,86.95652173913044,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CF_DRYLINING_GROUP_LTD-capital_report-2024-04-25.pdf,CF DRYLINING GROUP,88.88888888888889,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
CHAPTER_8_GROUP_LIMITED-capital_report-2024-08-29.pdf,CHAPTER 8 GROUP LIMITED,77.77777777777779,partial_ratio,False,none,"pdfplumber: ModuleNotFoundError(""No module named 'pdfplumber'"") | pymupdf: ModuleNotFoundError(""No module named 'fitz'"") | pypdf2: ModuleNotFoundError(""No module named 'PyPDF2'"")"
