plaid_detailed,subcategory,count
entertainment_music_and_audio,Debt Repayments,1
general_merchandise_department_stores,Debt Repayments,1
general_merchandise_convenience_stores,Debt Repayments,1
general_merchandise_online_marketplaces,Income,1
transfer_out_withdrawal,Special Inflow,1
loan_payments_other_payment,Special Inflow,1
general_services_storage,Transfer Out,1
general_services_accounting_and_financial_planning,Failed Payment,1
transfer_out_investment_and_retirement_funds,Special Inflow,1
personal_care_gyms_and_fitness_centers,Transfer Out,1
food_and_drink_beer_wine_and_liquor,Transfer Out,1
general_merchandise_electronics,Transfer Out,1
