file,status,transaction_count,date_min,date_max,revenue_total,non_revenue_credit_total,uncategorised_count,failed_payment_count,loan_credit_count,debt_repayment_count,exception_count
JsonExport/BTWBTW Ltd.json,ok,527,2024-03-28,2024-06-28,1391.12,92276.72,0.0,0.0,24.0,4.0,97.0
"JsonExport/BTWBTW Ltd_0,0.json",ok,527,2024-03-28,2024-06-28,1391.12,92276.72,0.0,0.0,24.0,4.0,97.0
JsonExport/Bubastore LTD - GetReportByID (1)(1).json,ok,6,2024-03-13,2024-03-17,0.0,1.49,0.0,0.0,0.0,0.0,0.0
JsonExport/Bubble Waffle Limited - GetReportByID (1)(1).json,ok,100,2023-12-26,2024-03-19,0.0,3939.98,0.0,5.0,0.0,6.0,1.0
JsonExport/Bubblegum brats limited - GetReportByID.json,ok,207,2025-03-18,2025-05-21,625.0,7688.81,0.0,0.0,0.0,0.0,3.0
JsonExport/BUHARY CONSTRUCTIONS LTD - GetReportByID.json,ok,302,2024-10-11,2025-04-15,0.0,51933.35,0.0,0.0,0.0,16.0,11.0
JsonExport/Bulgarian Food Pirin Ltd.json,ok,764,2023-10-24,2024-10-24,35603.46,102764.99,0.0,0.0,0.0,20.0,45.0
JsonExport/Bunker Publishing.json,ok,1802,2023-06-24,2024-06-24,47904.85,83393.5,0.0,0.0,1.0,390.0,94.0
"JsonExport/Bunker Publishing_0,0.json",ok,1802,2023-06-24,2024-06-24,47904.85,83393.5,0.0,0.0,1.0,390.0,94.0
JsonExport/Bunker Publishing_categorized.json,ok,1802,2023-06-24,2024-06-24,47904.85,0.0,0.0,0.0,0.0,391.0,0.0
JsonExport/By Old Ltd Transaction Report.json,ok,1673,2023-08-19,2024-08-16,20719.53,4209098.58,0.0,1.0,11.0,26.0,38.0
"JsonExport/By Old Ltd Transaction Report_0,0.json",ok,1673,2023-08-19,2024-08-16,20719.53,4209098.58,0.0,1.0,11.0,26.0,38.0
JsonExport/Cakes by Aleina Ltd.json,ok,790,2024-03-03,2024-12-09,2776.77,58297.86,0.0,0.0,0.0,35.0,2.0
JsonExport/Camliamo London Ltd - Transaction Report.json,ok,1905,2023-08-12,2024-08-07,20346.0,17760.69,0.0,0.0,0.0,3.0,11.0
JsonExport/Canny fast car solutions Ltd.json,ok,37,2025-10-29,2026-01-16,6700.52,7132.9,0.0,0.0,0.0,2.0,1.0
JsonExport/Car Connect Rentals.json,ok,147,2025-02-06,2025-07-12,99.0,19251.0,0.0,0.0,1.0,8.0,10.0
JsonExport/Carter Locksmiths - GetReportByID.json,ok,100,2024-02-21,2024-03-06,0.0,4141.6,0.0,0.0,0.0,0.0,1.0
JsonExport/CDS Wholesale Limited.json,ok,456,2025-04-25,2025-08-27,7091.58,37382.51,0.0,0.0,4.0,7.0,37.0
JsonExport/Ceiling Suppliers Transaction Report.json,ok,542,2023-08-03,2024-07-25,37585.96,44441.59,0.0,0.0,0.0,18.0,13.0
"JsonExport/Ceiling Suppliers Transaction Report_0,0.json",ok,542,2023-08-03,2024-07-25,37585.96,44441.59,0.0,0.0,0.0,18.0,13.0
JsonExport/Ceiling Suppliers Transaction Report_categorized.json,ok,542,2023-08-03,2024-07-25,37585.96,0.0,0.0,0.0,0.0,18.0,0.0
JsonExport/Cellor Shades.json,ok,5601,2024-09-29,2025-09-29,850.64,116943.74,0.0,0.0,5.0,86.0,285.0
JsonExport/Cetin barber beauty ltd - GetReportByID (1)(1).json,ok,585,2024-04-17,2025-04-16,38804.49,35830.17,0.0,1.0,5.0,19.0,8.0
JsonExport/Cetin barber beauty ltd.json,ok,613,2024-09-17,2025-09-16,36517.97,45659.58,0.0,1.0,3.0,17.0,13.0
JsonExport/champagne one ltd.json,ok,2059,2024-10-01,2025-10-01,119876.52,532747.72,0.0,40.0,13.0,302.0,145.0
JsonExport/Charles Bread Limited.json,ok,4771,2023-08-29,2024-08-29,293702.75,920033.51,0.0,1.0,1.0,126.0,432.0
JsonExport/CHEERS&CHILL LIMITED.json,ok,1714,2025-01-13,2026-01-12,293402.93,99237.69,0.0,3.0,21.0,200.0,83.0
JsonExport/Chillbeam Limited Ob 2.json,ok,468,2024-09-17,2025-02-19,642.66,41264.44,0.0,0.0,0.0,6.0,34.0
JsonExport/Chillbeam Limited.json,ok,453,2024-09-17,2025-02-13,642.66,38290.63,0.0,0.0,0.0,6.0,29.0
JsonExport/chilli too limited.json,ok,2208,2025-04-08,2025-09-11,8795.28,205002.86,0.0,0.0,0.0,16.0,393.0
JsonExport/Chocholivenetworks201.json,ok,938,2023-09-04,2024-09-02,48.8,6669.39,0.0,82.0,1.0,67.0,1.0
JsonExport/Christ Advocates Church Ltd Transaction Report.json,ok,75,2024-05-10,2024-08-02,0.0,19215.07,0.0,0.0,1.0,0.0,7.0
JsonExport/Class barber sw Ltd.json,ok,882,2024-09-02,2025-09-02,103738.46,33378.3,0.0,0.0,17.0,32.0,19.0
JsonExport/Cleaner Than Ever Norbury Ltd.json,ok,5404,2025-02-06,2026-02-06,316748.82,88302.35,0.0,0.0,3.0,162.0,16.0
JsonExport/COAST 2 COAST ( HALIFAX) LTD - GetReportByID.json,ok,1518,2024-05-16,2025-05-16,14757.59,54029.89,0.0,12.0,1.0,66.0,4.0
JsonExport/Coasties Collectables Ltd.json,ok,441,2025-12-18,2026-03-20,17552.18,13325.69,0.0,0.0,1.0,9.0,17.0
JsonExport/Cola Ship Limited - GetReportByID.json,ok,996,2024-09-03,2025-06-02,830.67,404574.79,0.0,0.0,0.0,19.0,340.0
JsonExport/Company Name VISA & IT Ltd - GetReportByID.json,ok,199,2023-07-10,2024-07-08,3785.4,6954.68,0.0,0.0,0.0,14.0,15.0
JsonExport/Coordinate Saas Ltd.json,ok,1640,2024-02-05,2025-02-04,516774.45,1265953.92,0.0,5.0,11.0,175.0,141.0
JsonExport/CoreERP Solutions.json,ok,354,2024-03-04,2024-09-09,108144.83,154065.51,0.0,0.0,1.0,5.0,9.0
"JsonExport/CoreERP Solutions_0,0.json",ok,354,2024-03-04,2024-09-09,108144.83,154065.51,0.0,0.0,1.0,5.0,9.0
JsonExport/Crazy Daisy's - GetReportByID (1)(1).json,ok,100,2024-03-05,2024-03-13,582.61,3211.63,0.0,0.0,1.0,0.0,1.0
JsonExport/Creative Plus Media Ltd.json,ok,1420,2025-03-05,2025-10-02,6955.89,92978.86,0.0,0.0,0.0,40.0,77.0
JsonExport/Creativo Oculus - GetReportByID.json,ok,1571,2024-05-02,2025-05-02,288.99,52474.25,0.0,4.0,0.0,25.0,17.0
JsonExport/Crownstep Limited - GetReportByID.json,ok,100,2023-11-22,2024-04-15,287.47,6169.93,0.0,0.0,0.0,5.0,3.0
JsonExport/Crunch Group Ltd Transaction Report.json,ok,269,2023-08-25,2024-07-23,0.0,23698.89,0.0,0.0,0.0,0.0,0.0
"JsonExport/Crunch Group Ltd Transaction Report_0,0.json",ok,269,2023-08-25,2024-07-23,0.0,23698.89,0.0,0.0,0.0,0.0,0.0
JsonExport/Crunch Group Ltd Transaction Report_categorized.json,ok,269,2023-08-25,2024-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JsonExport/CS Sport.json,ok,1623,2023-06-19,2024-06-19,3939.03,192869.25,0.0,0.0,1.0,47.0,174.0
JsonExport/CS Sports.json,ok,100,2024-04-10,2024-05-01,442.77,13756.66,0.0,0.0,0.0,3.0,6.0
"JsonExport/CS Sport_1,0.json",ok,1623,2023-06-19,2024-06-19,3939.03,192869.25,0.0,0.0,1.0,47.0,174.0
JsonExport/CS Sport_categorized.json,ok,1623,2023-06-19,2024-06-19,3262.0,0.0,0.0,0.0,7.0,63.0,0.0
JsonExport/csi interiors - Transaction Report.json,ok,100,2024-01-12,2024-02-20,10313.0,2118.68,0.0,0.0,15.0,2.0,13.0
JsonExport/Custom Car Paint LTD.json,ok,436,2024-09-03,2025-08-26,47001.32,12295.48,0.0,0.0,0.0,8.0,3.0
JsonExport/D & C Couriers Ltd app 3.json,ok,174,2025-04-09,2026-04-07,0.0,77766.48,0.0,0.0,0.0,9.0,13.0
JsonExport/D&C Couriers Limited.json,ok,64,2024-05-12,2024-08-05,0.0,21661.13,0.0,0.0,0.0,4.0,5.0
"JsonExport/D&C Couriers Limited_1,0.json",ok,64,2024-05-12,2024-08-05,0.0,21661.13,0.0,0.0,0.0,4.0,5.0
JsonExport/D&C Couriers Limited_categorized.json,ok,64,2024-05-12,2024-08-05,0.0,0.0,0.0,0.0,0.0,4.0,0.0
JsonExport/D&C Couriers Ltd - GetReportByID.json,ok,212,2024-06-03,2025-05-30,0.0,87786.46,0.0,0.0,1.0,7.0,18.0
JsonExport/D&C Couriers Ltd app 2.json,ok,205,2023-11-17,2024-11-15,0.0,99376.98,0.0,0.0,1.0,7.0,20.0
JsonExport/D&C Couriers Ltd app 3.json,ok,207,2024-11-08,2025-11-03,0.0,81828.77,0.0,0.0,0.0,2.0,14.0
