original_filename,clean_company_name,proposed_filename,collision_group_size,collision_status,would_rename,file_size,last_modified
Bunker Publishing_categorized.json,Bunker Publishing,Bunker Publishing - 03.json,3,collision_numbered,True,3678937,1726256724.0
"By Old Ltd Transaction Report_0,0.json",By Old Ltd,By Old Ltd.json,1,unique,True,3239335,1771591371.9344423
Cakes by Aleina Ltd.json,Cakes By Aleina Ltd,Cakes By Aleina Ltd.json,1,unique,True,1060121,1771591290.2466197
Camliamo London Ltd - Transaction Report.json,Camliamo London Ltd,Camliamo London Ltd.json,1,unique,True,2638637,1723451519.0
Canny fast car solutions Ltd.json,Canny Fast Car Solutions Ltd,Canny Fast Car Solutions Ltd.json,1,unique,True,47415,1771591290.2466197
Car Connect Rentals.json,Car Connect Rentals,Car Connect Rentals.json,1,unique,False,189045,1771591290.2466197
Carter Locksmiths - GetReportByID.json,Carter Locksmiths,Carter Locksmiths.json,1,unique,True,168688,1719907715.0
CDS Wholesale Limited.json,CDS Wholesale Limited,CDS Wholesale Limited.json,1,unique,False,558623,1771591290.213578
Ceiling Suppliers Transaction Report.json,Ceiling Suppliers,Ceiling Suppliers - 01.json,3,collision_numbered,True,733635,1722326785.0
"Ceiling Suppliers Transaction Report_0,0.json",Ceiling Suppliers,Ceiling Suppliers - 02.json,3,collision_numbered,True,1161082,1771591374.6877937
Ceiling Suppliers Transaction Report_categorized.json,Ceiling Suppliers,Ceiling Suppliers - 03.json,3,collision_numbered,True,1162265,1726256725.0
Cellor Shades.json,Cellor Shades,Cellor Shades.json,1,unique,False,6999496,1771591290.2804441
Cetin barber beauty ltd - GetReportByID (1)(1).json,Cetin Barber Beauty Ltd,Cetin Barber Beauty Ltd - 01.json,2,collision_numbered,True,803888,1752749767.0
Cetin barber beauty ltd.json,Cetin Barber Beauty Ltd,Cetin Barber Beauty Ltd - 02.json,2,collision_numbered,True,855714,1771591290.2950454
champagne one ltd.json,Champagne One Ltd,Champagne One Ltd.json,1,unique,True,2787981,1771591293.3289838
Charles Bread Limited.json,Charles Bread Limited,Charles Bread Limited.json,1,unique,False,6354563,1724945440.0
CHEERS&CHILL LIMITED.json,CHEERS&CHILL Limited,CHEERS&CHILL Limited.json,1,unique,True,2353877,1771591290.2299876
